,읍면동명,이용자수,이용금액,업종명
0,건입동,9161,542308361,문화레저
1,구좌읍,2281,89031215,문화레저
2,남원읍,2746,155702841,문화레저
3,노형동,10735,2606320823,문화레저
4,대륜동,135,30498100,문화레저
5,대정읍,7048,569516400,문화레저
6,대천동,86,49041800,문화레저
7,도두동,6041,247396100,문화레저
8,동홍동,11997,1184577770,문화레저
9,봉개동,278,12794000,문화레저
10,삼도1동,3354,1024119700,문화레저
11,삼도2동,2624,407756500,문화레저
12,삼양동,9272,391029524,문화레저
13,서홍동,101,68224250,문화레저
14,성산읍,1418,58928900,문화레저
15,송산동,50741,6542810089,문화레저
16,아라동,3695,510301990,문화레저
17,안덕면,2514,197631720,문화레저
18,애월읍,9712,354068311,문화레저
19,연동,54688,7785036915,문화레저
20,영천동,1172,233017160,문화레저
21,예래동,9087,792488490,문화레저
22,오라동,8249,1226632340,문화레저
23,외도동,2029,69386900,문화레저
24,용담1동,1785,510098401,문화레저
25,용담2동,2941,157973579,문화레저
26,우도면,5371,253160907,문화레저
27,이도1동,5251,741064418,문화레저
28,이도2동,19293,2767952686,문화레저
29,이호동,2242,119878712,문화레저
30,일도1동,102782,13462963374,문화레저
31,일도2동,10391,821267200,문화레저
32,정방동,38107,5244015319,문화레저
33,조천읍,9241,537721750,문화레저
34,중문동,5871,262736400,문화레저
35,중앙동,38107,5244015319,문화레저
36,천지동,38208,5312239569,문화레저
37,추자면,211,21361000,문화레저
38,표선면,11393,345527320,문화레저
39,한경면,1271,46862030,문화레저
40,한림읍,5064,280203800,문화레저
41,화북동,2819,217086020,문화레저
42,효돈동,1,9800000,문화레저
