,읍면동명,이용자수,이용금액,업종명,,,,
30,일도1동,190388,10177685060,소매업,,,,
27,이도1동,147990,7907317170,소매업,,,,
24,용담1동,35480,2864844919,소매업,,,,
38,표선면,68610,6203582231,소매업,,,,
35,중앙동,266155,11818142507,소매업,,,,
32,정방동,266155,11818142507,소매업,,,,
36,천지동,278622,12207045287,소매업,,,,
15,송산동,335860,15489261448,소매업,,,,
41,화북동,76724,3691963422,소매업,,,,
42,효돈동,20406,791512463,소매업,,,,
12,삼양동,66225,3427571436,소매업,,,,
10,삼도1동,30477,2285440569,소매업,,,,
0,건입동,43016,3257280423,소매업,,,,
23,외도동,55583,2735623539,소매업,,,,
6,대천동,46354,1848466593,소매업,,,,
7,도두동,14150,1714064327,소매업,,,,
37,추자면,2008,193601370,소매업,,,,
14,성산읍,102066,4255104297,소매업,,,,
28,이도2동,262356,10624680860,소매업,,,,
5,대정읍,98420,3142177332,소매업,,,,
40,한림읍,69941,4227439932,소매업,,,,
31,일도2동,127028,4505475385,소매업,,,,
22,오라동,34430,2480488238,소매업,,,,
33,조천읍,97606,3867895519,소매업,,,,
16,아라동,124953,3833749382,소매업,,,,
8,동홍동,56704,2662252811,소매업,,,,
2,남원읍,35635,2529152776,소매업,,,,
4,대륜동,44888,2517893066,소매업,,,,
9,봉개동,10536,855920553,소매업,,,,
25,용담2동,231377,8838732591,소매업,,,,
34,중문동,50987,2233422568,소매업,,,,
3,노형동,239110,8147168916,소매업,,,,
39,한경면,13540,747803241,소매업,,,,
13,서홍동,12467,388902780,소매업,,,,
26,우도면,18492,346477879,소매업,,,,
1,구좌읍,21145,1261604624,소매업,,,,
18,애월읍,75090,3103113694,소매업,,,,
20,영천동,14091,1070352330,소매업,,,,
29,이호동,8661,564700009,소매업,,,,
11,삼도2동,19596,1087400162,소매업,,,,
17,안덕면,30741,1265710128,소매업,,,,
19,연동,166569,5076470337,소매업,,,,
21,예래동,18742,843817073,소매업,,,,
