년월,이용자 구분,시도명,읍면동명,업종,방문인구,이용자수,이용금액,데이터기준일자
Jan-18,중국인관광객,서귀포시,남원읍,쇼핑,179846.027,744,4836000 ,2020-12-15
Jan-18,중국인관광객,제주시,연동,문화/레져,632381.932,744,3943200 ,2020-12-15
Jan-18,중국인관광객,제주시,연동,소매,632381.932,2240928,505000000000 ,2020-12-15
Jan-18,중국인관광객,제주시,연동,쇼핑,632381.932,5039112,4770000000000 ,2020-12-15
Jan-18,중국인관광객,제주시,연동,숙박,632381.932,178560,31247935272 ,2020-12-15
Jan-18,중국인관광객,제주시,연동,식음료,632381.932,955296,44746131600 ,2020-12-15
Jan-18,중국인관광객,제주시,연동,유흥,632381.932,32736,6027218400 ,2020-12-15
Jan-18,중국인관광객,제주시,애월읍,식음료,86621.579,63240,1641487200 ,2020-12-15
Jan-18,중국인관광객,제주시,오라동,쇼핑,10420.408,1488,30526320 ,2020-12-15
Jan-18,중국인관광객,제주시,오라동,식음료,10420.408,744,42408000 ,2020-12-15
Jan-18,중국인관광객,제주시,외도동,쇼핑,2136.545,946,95602760 ,2020-12-15
Jan-18,중국인관광객,제주시,외도동,식음료,2136.545,1419,54584200 ,2020-12-15
Jan-18,중국인관광객,제주시,용담1동,쇼핑,6429.852,2211,15992900 ,2020-12-15
Jan-18,중국인관광객,제주시,용담2동,교통,320103.668,3720,254012760 ,2020-12-15
Jan-18,중국인관광객,제주시,용담2동,소매,320103.668,40176,2498932320 ,2020-12-15
Jan-18,중국인관광객,제주시,오라동,숙박,10420.408,744,26040000 ,2020-12-15
Jan-18,중국인관광객,제주시,용담2동,쇼핑,320103.668,1238016,214000000000 ,2020-12-15
Jan-18,중국인관광객,제주시,애월읍,숙박,86621.579,2976,339115200 ,2020-12-15
Jan-18,중국인관광객,제주시,애월읍,소매,86621.579,744,59520000 ,2020-12-15
Jan-18,중국인관광객,제주시,삼도1동,소매,6908.489,2824,273575000 ,2020-12-15
Jan-18,중국인관광객,제주시,삼도1동,쇼핑,6908.489,4942,274210400 ,2020-12-15
Jan-18,중국인관광객,제주시,삼도1동,숙박,6908.489,2118,437762360 ,2020-12-15
Jan-18,중국인관광객,제주시,삼도1동,식음료,6908.489,2118,141906000 ,2020-12-15
Jan-18,중국인관광객,제주시,삼도2동,소매,54016.659,2976,154008000 ,2020-12-15
Jan-18,중국인관광객,제주시,삼도2동,쇼핑,54016.659,114576,3636508320 ,2020-12-15
Jan-18,중국인관광객,제주시,애월읍,쇼핑,86621.579,11904,305010240 ,2020-12-15
Jan-18,중국인관광객,제주시,삼도2동,숙박,54016.659,32736,9132307608 ,2020-12-15
Jan-18,중국인관광객,제주시,삼양동,쇼핑,5028.546,2628,82052730 ,2020-12-15
Jan-18,중국인관광객,제주시,삼양동,식음료,5028.546,657,17082000 ,2020-12-15
Jan-18,중국인관광객,제주시,아라동,쇼핑,16798.377,3720,267579600 ,2020-12-15
Jan-18,중국인관광객,제주시,아라동,숙박,16798.377,744,24552000 ,2020-12-15
Jan-18,중국인관광객,제주시,아라동,식음료,16798.377,2976,130348800 ,2020-12-15
Jan-18,중국인관광객,제주시,애월읍,문화/레져,86621.579,17112,1068421200 ,2020-12-15
Jan-18,중국인관광객,제주시,삼도2동,식음료,54016.659,33480,2957682720 ,2020-12-15
Jan-18,중국인관광객,제주시,봉개동,소매,6530.77,610,3050000 ,2020-12-15
Jan-18,중국인관광객,제주시,용담2동,식음료,320103.668,238824,7498478400 ,2020-12-15
Jan-18,중국인관광객,제주시,우도면,소매,5152.526,1284,19260000 ,2020-12-15
Jan-18,중국인관광객,제주시,일도2동,숙박,6118.446,741,33345000 ,2020-12-15
Jan-18,중국인관광객,제주시,일도2동,식음료,6118.446,2223,50388000 ,2020-12-15
Jan-18,중국인관광객,제주시,일도2동,유흥,6118.446,741,22230000 ,2020-12-15
Jan-18,중국인관광객,제주시,조천읍,문화/레져,17227.998,5208,174840000 ,2020-12-15
Jan-18,중국인관광객,제주시,조천읍,쇼핑,17227.998,2232,34893600 ,2020-12-15
Jan-18,중국인관광객,제주시,조천읍,숙박,17227.998,744,69936000 ,2020-12-15
Jan-18,중국인관광객,제주시,일도2동,쇼핑,6118.446,5928,190837140 ,2020-12-15
Jan-18,중국인관광객,제주시,조천읍,식음료,17227.998,4464,131688000 ,2020-12-15
Jan-18,중국인관광객,제주시,한림읍,문화/레져,31177.645,4464,19629663264 ,2020-12-15
Jan-18,중국인관광객,제주시,한림읍,소매,31177.645,3720,960318000 ,2020-12-15
Jan-18,중국인관광객,제주시,한림읍,쇼핑,31177.645,12648,800320800 ,2020-12-15
Jan-18,중국인관광객,제주시,한림읍,숙박,31177.645,17112,974000000000 ,2020-12-15
Jan-18,중국인관광객,제주시,한림읍,식음료,31177.645,7440,446028000 ,2020-12-15
Jan-18,중국인관광객,제주시,화북동,쇼핑,5974.283,2968,346180100 ,2020-12-15
Jan-18,중국인관광객,제주시,한림읍,교통,31177.645,1488,73656000 ,2020-12-15
Jan-18,중국인관광객,제주시,우도면,교통,5152.526,16692,381669000 ,2020-12-15
Jan-18,중국인관광객,제주시,일도2동,문화/레져,6118.446,2964,17413500 ,2020-12-15
Jan-18,중국인관광객,제주시,일도1동,쇼핑,4547.025,9840,142450400 ,2020-12-15
Jan-18,중국인관광객,제주시,우도면,쇼핑,5152.526,1926,8988000 ,2020-12-15
Jan-18,중국인관광객,제주시,우도면,식음료,5152.526,9630,224700000 ,2020-12-15
Jan-18,중국인관광객,제주시,이도1동,쇼핑,13404.677,2904,125627040 ,2020-12-15
Jan-18,중국인관광객,제주시,이도1동,식음료,13404.677,2904,56700600 ,2020-12-15
Jan-18,중국인관광객,제주시,이도2동,문화/레져,18678.322,5208,152817600 ,2020-12-15
Jan-18,중국인관광객,제주시,이도2동,소매,18678.322,11904,2393581920 ,2020-12-15
Jan-18,중국인관광객,제주시,일도1동,식음료,4547.025,11808,244884800 ,2020-12-15
Jan-18,중국인관광객,제주시,이도2동,쇼핑,18678.322,20088,1687734240 ,2020-12-15
Jan-18,중국인관광객,제주시,이도2동,식음료,18678.322,12648,423038400 ,2020-12-15
Jan-18,중국인관광객,제주시,이도2동,유흥,18678.322,2976,140467200 ,2020-12-15
Jan-18,중국인관광객,제주시,이호동,소매,3953.058,7350,6202770000 ,2020-12-15
Jan-18,중국인관광객,제주시,이호동,쇼핑,3953.058,2625,16600500 ,2020-12-15
Jan-18,중국인관광객,제주시,일도1동,문화/레져,4547.025,26240,1001718560 ,2020-12-15
