,읍면동명,이용자수,이용금액,업종명
0,건입동,265969,10241713311,식음료
1,구좌읍,447485,14913255443,식음료
2,남원읍,195633,8018719536,식음료
3,노형동,1683874,62259327325,식음료
4,대륜동,319039,10766246889,식음료
5,대정읍,387009,16160133495,식음료
6,대천동,253662,7763452365,식음료
7,도두동,121244,7995125170,식음료
8,동홍동,341585,12936133704,식음료
9,봉개동,63636,1973217774,식음료
10,삼도1동,155945,5315152673,식음료
11,삼도2동,235646,9630707934,식음료
12,삼양동,341958,10415464510,식음료
13,서홍동,141570,4247202092,식음료
14,성산읍,498418,21124443200,식음료
15,송산동,1166453,46442492375,식음료
16,아라동,925126,29228334363,식음료
17,안덕면,389961,17437156423,식음료
18,애월읍,779295,27625790107,식음료
19,연동,1436390,64812675826,식음료
20,영천동,82794,4094399458,식음료
21,예래동,296492,15931114861,식음료
22,오라동,311415,10617321084,식음료
23,외도동,317892,10493142788,식음료
24,용담1동,97527,5218747039,식음료
25,용담2동,867557,23630308510,식음료
26,우도면,121016,3358090724,식음료
27,이도1동,182948,5969878419,식음료
28,이도2동,1647091,54376564794,식음료
29,이호동,60447,2869628867,식음료
30,일도1동,227720,6157800415,식음료
31,일도2동,555724,19218457275,식음료
32,정방동,750942,29809504634,식음료
33,조천읍,564517,21772785446,식음료
34,중문동,329778,16097991716,식음료
35,중앙동,750942,29809504634,식음료
36,천지동,892512,34056706726,식음료
37,추자면,12562,823879788,식음료
38,표선면,232922,11450003400,식음료
39,한경면,137624,5391205214,식음료
40,한림읍,519215,19900977488,식음료
41,화북동,298598,9245094365,식음료
42,효돈동,84083,2681782488,식음료
