,읍면동명,이용자수,이용금액,업종명
0,건입동,19244,3021186198,숙박업
1,구좌읍,7307,486075860,숙박업
2,남원읍,5592,686348805,숙박업
3,노형동,16191,3283181817,숙박업
4,대륜동,18041,2911563415,숙박업
5,대정읍,7502,403459738,숙박업
6,대천동,15421,2201327226,숙박업
7,도두동,3698,888650184,숙박업
8,동홍동,1264,96081586,숙박업
9,봉개동,908,57467815,숙박업
10,삼도1동,11816,1416966198,숙박업
11,삼도2동,33790,8892444353,숙박업
12,삼양동,1235,165017212,숙박업
13,서홍동,2366,340347734,숙박업
14,성산읍,33535,2655277103,숙박업
15,송산동,54406,6949964649,숙박업
16,아라동,6726,1503657825,숙박업
17,안덕면,44562,1833852801,숙박업
18,애월읍,40709,4734422761,숙박업
19,연동,113609,26611999012,숙박업
20,영천동,17544,1954415806,숙박업
21,예래동,86633,35932357350,숙박업
22,오라동,3351,417766532,숙박업
23,외도동,14438,1162389360,숙박업
24,용담1동,2275,689467273,숙박업
25,용담2동,4838,668931383,숙박업
26,우도면,1765,69138450,숙박업
27,이도1동,17091,4411240130,숙박업
28,이도2동,14356,2678538529,숙박업
29,이호동,1838,475750163,숙박업
30,일도1동,3965,234818090,숙박업
31,일도2동,2842,209819900,숙박업
32,정방동,37251,4961156042,숙박업
33,조천읍,15423,2139127951,숙박업
34,중문동,26094,6049035956,숙박업
35,중앙동,37251,4961156042,숙박업
36,천지동,39617,5301503776,숙박업
37,추자면,1137,192603130,숙박업
38,표선면,4953,478412946,숙박업
39,한경면,546,52632390,숙박업
40,한림읍,19133,1750567538,숙박업
41,화북동,8,1660000,숙박업
42,효돈동,150,31457660,숙박업
